title,year,id_jp,url_allo,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
fantastic mr fox,2009,682cfcd8c28d565fbee04881b791d3b9,https://www.allocine.fr/film/fichefilm_gen_cfilm=114976.html,wes anderson,etatsunis,5220,animation,20088,128167,95396,13,357881,147,4.3,4.2,[],40000000,"[""anglais"", ""francais""]",125113,2
soyez sympas rembobinez,2008,68c6505e04cd095f8c708c36a0393455,https://www.allocine.fr/film/fichefilm_gen_cfilm=110281.html,michel gondry,etatsunis,6060,comedie,20821,146496,121129,6,505993,190,3.8,3.6,"[""Jack Black"", ""Yasiin Bey"", ""Danny Glover"", ""Mia Farrow""]",20000000,"[""anglais""]",119181,0
hors de controle,2010,698fd3d163f330f651ed909e371af7c7,https://www.allocine.fr/film/fichefilm_gen_cfilm=136018.html,martin campbell,etatsunis,6480,thriller,30522,209517,173089,9,330301,357,2.3,2.3,"[""Mel Gibson"", ""Ray Winstone"", ""Danny Huston"", ""Bojana Novakovic""]",60000000,"[""anglais""]",124755,0
le dernier des templiers,2011,6a46c8bafbc362357137ee1ed4818759,https://www.allocine.fr/film/fichefilm_gen_cfilm=139382.html,dominic sena,etatsunis,6780,aventure action,42579,368501,316571,1,1000723,325,1.6,1.9,"[""Nicolas Cage"", ""Ron Perlman"", ""Stephen Campbell-Moore"", ""Claire Foy""]",40000000,"[""anglais""]",127022,0
very bad trip,2009,6b0b621bf84baa0c0b70a386cf500182,https://www.allocine.fr/film/fichefilm_gen_cfilm=131394.html,todd phillips,etatsunis,5760,comedie,38635,402973,261369,2,2001563,251,3.7,4,"[""Bradley Cooper"", ""Ed Helms"", ""Zach Galifianakis"", ""Justin Bartha""]",35000000,"[""anglais""]",123506,1
secrets et mensonges,1996,6b7473ab3c2ac5be8c0661accc94f29f,https://www.allocine.fr/film/fichefilm_gen_cfilm=15225.html,mike leigh,grandebretagne,8520,drame,-1,242478,-1,2,1490009,126,-1,3.8,"[""Brenda Blethyn"", ""Marianne Jean-Baptiste"", ""Timothy Spall"", ""Claire Rushbrook""]",4500000,"[""anglais""]",90443,5
the boxer,1997,6c8de0ecb33fa5f8b0507914b19f7e31,https://www.allocine.fr/film/fichefilm_gen_cfilm=16247.html,jim sheridan,etatsunis,6780,drame,-1,73547,-1,11,166996,136,-1,3.7,"[""Daniel Day-Lewis"", ""Emily Watson"", ""Brian Cox"", ""Ken Stott""]",-1,"[""anglais""]",-1,0
taken 2,2012,6c9002c5acbaf5e66aec08e5886908bf,https://www.allocine.fr/film/fichefilm_gen_cfilm=144809.html,olivier megaton,france,5880,thriller,220153,1231066,1048691,1,2903637,561,1.7,2.9,"[""Liam Neeson"", ""Maggie Grace"", ""Famke Janssen"", ""Leland Orser""]",45000000,"[""anglais""]",129370,0
parlezmoi de la pluie,2008,6d5ece02f47b31d4c9c26415be40b49c,https://www.allocine.fr/film/fichefilm_gen_cfilm=127423.html,agnes jaoui,france,6000,comedie,78862,414296,332134,1,1004267,443,3.3,2.4,"[""Agnès Jaoui"", ""Jean-Pierre Bacri"", ""Jamel Debbouze"", ""Pascale Arbillot""]",-1,"[""francais""]",117868,0
le transporteur iii,2008,6da99c38fa9459e9217173cd5dd60a55,https://www.allocine.fr/film/fichefilm_gen_cfilm=133730.html,olivier megaton,france,6300,aventure action,108574,678945,609184,1,1430308,535,2.6,2.3,"[""Jason Statham"", ""Natalya Rudakova"", ""Robert Knepper"", ""François Berléand""]",30000000,"[""anglais"", ""francais"", ""hongrois"", ""russe""]",120030,0
amistad,1997,6dbd77b03cbea7a9b55d736b8b44ba46,https://www.allocine.fr/film/fichefilm_gen_cfilm=16168.html,steven spielberg,etatsunis,9120,drame,-1,246403,-1,5,630020,289,-1,3.6,"[""Djimon Hounsou"", ""Morgan Freeman"", ""David Paymer"", ""Matthew McConaughey""]",40000000,"[""dialecte africain"", ""anglais"", ""espagnol""]",-1,0
le professeur foldingue,1996,6ef98f2c33c74875a6859030b5f1a259,https://www.allocine.fr/film/fichefilm_gen_cfilm=15292.html,tom shadyac,etatsunis,5700,film familial,103180,561291,458412,1,2199835,271,-1,1.9,"[""Eddie Murphy"", ""Jada Pinkett Smith"", ""James Coburn"", ""Larry Miller""]",54000000,"[""anglais""]",90463,1
la confidential,1997,6f5f1101aa7f727d9e5dd3e017f91770,https://www.allocine.fr/film/fichefilm_gen_cfilm=12032.html,curtis hanson,etatsunis,8280,drame,-1,182141,-1,3,589608,216,4.8,4.1,"[""Kevin Spacey"", ""James Cromwell"", ""Russell Crowe"", ""Guy Pearce""]",35000000,"[""anglais""]",93018,5
la belle verte,1996,6f7e08e142b0a3efc422ea97a1c226ad,https://www.allocine.fr/film/fichefilm_gen_cfilm=15287.html,coline serreau,france,5940,comedie,-1,211204,-1,3,773636,253,-1,3.3,"[""Coline Serreau"", ""Vincent Lindon"", ""Marion Cotillard"", ""James Thiérrée""]",1220000000,"[""francais""]",81253,0
vicky cristina barcelona,2008,6f924f2f78d8ac7d088d458f572a7ac1,https://www.allocine.fr/film/fichefilm_gen_cfilm=126148.html,woody allen,etatsunis,5760,comedie,80298,565395,473342,1,1914781,412,3.9,3.6,"[""Scarlett Johansson"", ""Rebecca Hall"", ""Javier Bardem"", ""Penélope Cruz""]",155000000,"[""anglais"", ""espagnol""]",121621,5
surviving picasso,1996,6fd08102be7788258541e61259cf6fe5,https://www.allocine.fr/film/fichefilm_gen_cfilm=16112.html,james ivory,grandebretagne,7500,drame,-1,40386,-1,10,64703,96,-1,3.2,"[""Anthony Hopkins"", ""Natascha McElhone"", ""Julianne Moore"", ""Joss Ackland""]",-1,"[""anglais""]",91360,0
asterix et obelix contre cesar,1999,6fda885a83b5f9a82360b8978805f90b,https://www.allocine.fr/film/fichefilm_gen_cfilm=14539.html,claude zidi,france,6540,comedie,446424,2718443,2213092,1,8948624,780,3.1,2.2,"[""Christian Clavier"", ""Gérard Depardieu"", ""Roberto Benigni"", ""Michel Galabru""]",4187000000,"[""francais"", ""allemand""]",93937,0
course a la mort,2008,7051a27ff52a4479efb49bf02d797a2b,https://www.allocine.fr/film/fichefilm_gen_cfilm=128251.html,paul ws anderson,etatsunis,5340,science fiction,11814,95769,82393,10,235202,148,2.2,2.8,"[""Jason Statham"", ""Tyrese Gibson"", ""Joan Allen"", ""Ian McShane""]",45000000,"[""anglais""]",121546,0
bienvenue a suburbicon,2017,705518a566c1002f2a7267fdcc4a1b96,https://www.allocine.fr/film/fichefilm_gen_cfilm=109347.html,george clooney,etatsunis,6300,comedie dramatique,13989,102006,83248,10,175142,218,3,2.8,"[""Matt Damon"", ""Julianne Moore"", ""Noah Jupe"", ""Glenn Fleshler""]",-1,"[""anglais""]",147779,0
a dangerous method,2011,70a975909cfe820370730e68fdb4e9b0,https://www.allocine.fr/film/fichefilm_gen_cfilm=132376.html,david cronenberg,grandebretagne,5940,drame,32539,149627,100568,9,518990,184,3.5,3,"[""Keira Knightley"", ""Michael Fassbender"", ""Viggo Mortensen"", ""Vincent Cassel""]",15000000,"[""anglais""]",129513,0
ponyo sur la falaise,2008,722224b4f262a0309a9ab3cff98629a2,https://www.allocine.fr/film/fichefilm_gen_cfilm=127194.html,hayao miyazaki,japon,6900,animation,47639,248029,186326,7,906455,251,4.4,4.1,[],-1,"[""japonais""]",122871,0
nine,2009,725e842aece761f73ca9b341c20a56c6,https://www.allocine.fr/film/fichefilm_gen_cfilm=127947.html,rob marshall,etatsunis,6600,musical,40136,214280,190473,3,358944,301,1.8,1.7,"[""Daniel Day-Lewis"", ""Marion Cotillard"", ""Penélope Cruz"", ""Sophia Loren""]",80000000,"[""anglais""]",-1,0
mars attacks,1996,7295eee632b847738ba798b0997ae3d1,https://www.allocine.fr/film/fichefilm_gen_cfilm=14784.html,tim burton,etatsunis,6360,science fiction,-1,719593,-1,1,2189105,253,4,3.5,"[""Jack Nicholson"", ""Glenn Close"", ""Pierce Brosnan"", ""Annette Bening""]",70000000,"[""anglais"", ""francais""]",91647,0
gravity,2013,72c82e545fd19939beaa13b757dc03f3,https://www.allocine.fr/film/fichefilm_gen_cfilm=178496.html,alfonso cuaron,etatsunis,5460,science fiction,193659,1493000,1113882,1,4094466,398,4.6,4,"[""Sandra Bullock"", ""George Clooney""]",100000000,"[""anglais""]",138104,15
sherlock holmes 2 jeu dombres,2011,741393d1f70b96bf10018c67102e06da,https://www.allocine.fr/film/fichefilm_gen_cfilm=173048.html,guy ritchie,etatsunis,7680,aventure action,135043,981375,863691,1,2381964,620,3.1,3.9,"[""Robert Downey Jr."", ""Jude Law"", ""Noomi Rapace"", ""Rachel McAdams""]",125000000,"[""anglais""]",131949,0
hotel woodstock,2009,76821e5d29d0ad7450ce17b88d6b2c32,https://www.allocine.fr/film/fichefilm_gen_cfilm=135813.html,ang lee,etatsunis,6600,comedie,11592,78441,63104,12,198751,147,3.7,3.2,"[""Emile Hirsch"", ""Demetri Martin"", ""Liev Schreiber"", ""Imelda Staunton""]",30000000,"[""anglais""]",123773,0
mission impossible protocole fantome,2011,778962453f66faa07f35e123e9b6aea4,https://www.allocine.fr/film/fichefilm_gen_cfilm=147454.html,brad bird,etatsunis,7980,aventure action,115209,827046,631656,2,2415036,616,3.9,3.8,"[""Tom Cruise"", ""Jeremy Renner"", ""Simon Pegg"", ""Paula Patton""]",140000000,"[""anglais""]",130697,0
rai,1995,77da4925fe5a02f31d9e0b7eb2bca1a4,https://www.allocine.fr/film/fichefilm_gen_cfilm=10232.html,thomas gilou,france,5340,drame,-1,55068,-1,6,127675,76,-1,2.3,"[""Mustapha Benstiti"", ""Tabatha Cash"", ""Samy Naceri"", ""Faisal Attia""]",-1,"[""francais""]",86152,0
sherlock holmes,2009,790adb36682fc570e788ad0125dccfd4,https://www.allocine.fr/film/fichefilm_gen_cfilm=127179.html,guy ritchie,etatsunis,8040,aventure action,87425,780449,650584,1,2143123,676,3.2,3.9,"[""Robert Downey Jr."", ""Jude Law"", ""Mark Strong"", ""Rachel McAdams""]",90000000,"[""anglais""]",125352,1
au coeur de locean,2015,7a1ea1829a074891bb2a8fe26fd2863b,https://www.allocine.fr/film/fichefilm_gen_cfilm=144338.html,ron howard,etatsunis,7260,aventure action,16906,138532,115264,8,280288,368,3.1,3.7,"[""Chris Hemsworth"", ""Benjamin Walker"", ""Cillian Murphy"", ""Ben Whishaw""]",-1,"[""anglais""]",143466,0
justice league,2017,7a4c580b4ed36d3d63a1346937c5226d,https://www.allocine.fr/film/fichefilm_gen_cfilm=126527.html,zack snyder,etatsunis,7200,comicbook,130050,834493,741203,1,1724136,687,2.1,2.7,"[""Ben Affleck"", ""Henry Cavill"", ""Gal Gadot"", ""Ezra Miller""]",-1,"[""anglais""]",147588,0
ricky,2009,7a5908214707f09c0a9312cb0192517d,https://www.allocine.fr/film/fichefilm_gen_cfilm=134174.html,francois ozon,france,5400,comedie dramatique,17489,135612,106252,9,243346,275,3.7,2.1,"[""Alexandra Lamy"", ""Sergi López"", ""Mélusine Mayance"", ""Arthur Peyret""]",-1,"[""francais""]",119931,0
moliere,2007,7a9bcc79155dc691eea80e1d23695656,https://www.allocine.fr/film/fichefilm_gen_cfilm=109959.html,laurent tirard,france,7200,comedie,40346,341820,265092,2,1242083,465,3,3.3,"[""Alban Casterman"", ""Romain Duris"", ""Fabrice Luchini"", ""Laura Morante""]",16000000,"[""francais""]",114850,1
rango,2011,7abf4452869a369cde4e1de47848e937,https://www.allocine.fr/film/fichefilm_gen_cfilm=139127.html,gore verbinski,etatsunis,6420,animation,70043,519450,470183,1,1259125,626,3.4,3.6,[],135000000,"[""anglais""]",128342,9
interstellar,2014,7b320b7f8ed1f57f60957d98e32af063,https://www.allocine.fr/film/fichefilm_gen_cfilm=114782.html,christopher nolan,etatsunis,10140,science fiction,91064,1071360,650000,1,2651382,747,3.8,4.5,"[""Matthew McConaughey"", ""Anne Hathaway"", ""Michael Caine"", ""John Lithgow""]",-1,"[""anglais""]",140695,1
bad boys,1995,7b82805682cc2c903b0f40b6f4b6705e,https://www.allocine.fr/film/fichefilm_gen_cfilm=14012.html,michael bay,etatsunis,7140,aventure action,80625,339543,264761,1,1636092,293,1.7,3.2,"[""Martin Lawrence"", ""Will Smith"", ""Tchéky Karyo"", ""Tea Leoni""]",23000000,"[""anglais""]",87887,0
taxi,1998,7ea755b32cac04405318e18f4a59d181,https://www.allocine.fr/film/fichefilm_gen_cfilm=17106.html,gerard pires,france,5160,comedie,-1,795989,-1,2,6522121,400,-1,2.4,"[""Samy Naceri"", ""Frédéric Diefenthal"", ""Marion Cotillard"", ""Manuela Gourary""]",8120000,"[""francais""]",92512,2
rencontre avec joe black,1998,7fc72a530d74423f85a6a84f02870947,https://www.allocine.fr/film/fichefilm_gen_cfilm=16774.html,martin brest,etatsunis,10860,romance,-1,288415,-1,3,736372,362,2.7,3.8,"[""Brad Pitt"", ""Anthony Hopkins"", ""Claire Forlani"", ""Jake Weber""]",90000000,"[""anglais""]",96227,0
maudite aphrodite,1995,7fc845d97e0961eda849ddf8ee07a798,https://www.allocine.fr/film/fichefilm_gen_cfilm=14016.html,woody allen,etatsunis,5640,comedie,-1,300657,-1,4,1063526,175,-1,3.1,"[""Woody Allen"", ""Mira Sorvino"", ""Helena Bonham Carter"", ""F. Murray Abraham""]",15000000,"[""anglais""]",-1,2
get shorty,1995,80360eaf1c5c05aa6c030cdf343082c8,https://www.allocine.fr/film/fichefilm_gen_cfilm=14160.html,barry sonnenfeld,etatsunis,6300,comedie,-1,148007,-1,4,320330,-1,-1,2.6,"[""John Travolta"", ""Gene Hackman"", ""Rene Russo"", ""Danny DeVito""]",-1,"[""anglais""]",-1,1
taken,2008,80a9dd3977e77f85313ef7ea97130c59,https://www.allocine.fr/film/fichefilm_gen_cfilm=126169.html,pierre morel,france,5100,aventure action,50765,291414,247186,4,1018518,350,1.8,3.8,"[""Liam Neeson"", ""Maggie Grace"", ""Famke Janssen"", ""Xander Berkeley""]",25000000,"[""albanais"", ""arabic"", ""anglais"", ""francais""]",117480,0
from paris with love,2010,81a19bf34f3913006a7766c66c1c86b9,https://www.allocine.fr/film/fichefilm_gen_cfilm=135259.html,pierre morel,france,5520,aventure action,34136,201554,163372,10,330007,437,2.4,2.3,"[""John Travolta"", ""Jonathan Rhys-Meyers"", ""Kasia Smutniak"", ""Richard Durden""]",38000000,"[""anglais"", ""francais"", ""allemand"", ""mandarin""]",121849,0
casper,1995,82104956ef5315bc0e03cf210d28fcce,https://www.allocine.fr/film/fichefilm_gen_cfilm=13018.html,brad silberling,etatsunis,6000,film familial,57308,395424,-1,2,2224232,323,-1,3.1,"[""Devon Sawa"", ""Christina Ricci"", ""Bill Pullman"", ""Cathy Moriarty""]",55000000,"[""anglais""]",88422,0
black swan,2010,829e583e0e46c97a520bc2dafe95140a,https://www.allocine.fr/film/fichefilm_gen_cfilm=125828.html,darren aronofsky,etatsunis,6180,thriller,89405,714315,557291,2,2617032,300,4.2,4.1,"[""Natalie Portman"", ""Mila Kunis"", ""Vincent Cassel"", ""Winona Ryder""]",17000000,"[""anglais"", ""francais"", ""italien""]",128183,9
ma vie avec liberace,2013,82cfff9abd0e79151384cbd51d1f8868,https://www.allocine.fr/film/fichefilm_gen_cfilm=139160.html,steven soderbergh,etatsunis,7080,drame,14048,123223,100512,5,248868,279,4,3.7,"[""Michael Douglas"", ""Matt Damon"", ""Dan Aykroyd"", ""Scott Bakula""]",23000000,"[""anglais""]",137700,8
frost nixon lheure de verite,2008,8307841d1add7186fc74cc30ed09eae6,https://www.allocine.fr/film/fichefilm_gen_cfilm=120435.html,ron howard,etatsunis,7320,drame,3642,31005,24312,15,55393,80,3.8,3.8,"[""Frank Langella"", ""Michael Sheen"", ""Sam Rockwell"", ""Kevin Bacon""]",35000000,"[""anglais""]",-1,0
phenomene,1996,84b6cc934109a5805a04688ad46f7b1e,https://www.allocine.fr/film/fichefilm_gen_cfilm=15285.html,jon turteltaub,etatsunis,7380,comedie,-1,204113,-1,4,578794,253,-1,2.9,"[""John Travolta"", ""Kyra Sedgwick"", ""Forest Whitaker"", ""Robert Duvall""]",32000000,"[""anglais""]",90494,0
decroche les etoiles,1996,84dbbf161b83bd2466b3810ea9e44f57,https://www.allocine.fr/film/fichefilm_gen_cfilm=15086.html,nick cassavetes,etatsunis,6420,comedie,-1,30027,-1,13,95741,47,-1,3.4,"[""Gena Rowlands"", ""Marisa Tomei"", ""Gérard Depardieu"", ""Moira Kelly""]",-1,"[""anglais""]",90216,0
les enfants du marais,1999,84e3a8d54cd617478d0e228de79e25b9,https://www.allocine.fr/film/fichefilm_gen_cfilm=12474.html,jean becker,france,6900,comedie,-1,374542,-1,2,2136345,261,3.5,2.9,"[""Jacques Villeret"", ""Jacques Gamblin"", ""André Dussollier"", ""Michel Serrault""]",9240000,"[""francais""]",94751,0
wall street largent ne dort jamais,2010,854864e015cb95d88010b7134db36f7e,https://www.allocine.fr/film/fichefilm_gen_cfilm=128600.html,oliver stone,etatsunis,7620,thriller,48929,292351,252760,2,572417,410,2.3,2.6,"[""Michael Douglas"", ""Shia LaBeouf"", ""Josh Brolin"", ""Carey Mulligan""]",70000000,"[""anglais""]",126363,0
walle,2008,86242b98afb0f4a436314464f50c459a,https://www.allocine.fr/film/fichefilm_gen_cfilm=123734.html,andrew stanton,etatsunis,5820,animation,190002,925900,746182,1,3261002,736,4.6,4.4,[],180000000,"[""anglais""]",120904,4
nettoyage a sec,1997,8640ed7830a57da6bb9549a842bcd774,https://www.allocine.fr/film/fichefilm_gen_cfilm=10231.html,anne fontaine,france,5820,comedie,-1,116211,-1,5,444060,118,-1,3.2,"[""Miou-Miou"", ""Charles Berling"", ""Mathilde Seigner"", ""Stanislas Merhar""]",-1,"[""francais""]",89462,2
toy story,1995,8653c5557b946a80ed6e7bdcffe94a78,https://www.allocine.fr/film/fichefilm_gen_cfilm=14264.html,john lasseter,etatsunis,4860,animation,99545,496820,444343,2,2759457,455,4,4.3,[],30000000,"[""anglais""]",89051,0
vous allez rencontrer un bel et sombre inconnu,2010,866e554fad593b2f25945b0cdaf15ace,https://www.allocine.fr/film/fichefilm_gen_cfilm=143664.html,woody allen,etatsunis,5880,comedie,42910,337498,271686,2,866732,406,3.5,2.7,"[""Naomi Watts"", ""Antonio Banderas"", ""Josh Brolin"", ""Anthony Hopkins""]",22000000,"[""anglais""]",127470,1
serial lover,1998,866f4f43866a31121f78f7b4c6ef8609,https://www.allocine.fr/film/fichefilm_gen_cfilm=17033.html,james huth,france,5100,comedie,-1,96425,-1,7,183562,171,-1,2.5,"[""Michèle Laroque"", ""Albert Dupontel"", ""Elise Tielrooy"", ""Michel Vuillermoz""]",-1,"[""francais""]",91984,0
batman forever,1995,8794744d8a3212d648ba39e9b185ef90,https://www.allocine.fr/film/fichefilm_gen_cfilm=12858.html,joel schumacher,etatsunis,7320,comicbook,-1,559225,388611,1,1681063,371,-1,1.9,"[""Val Kilmer"", ""Tommy Lee Jones"", ""Jim Carrey"", ""Nicole Kidman""]",100000000,"[""anglais""]",87893,0
the descendants,2011,88266c5d68a9d6093ff0b0dfdb42277a,https://www.allocine.fr/film/fichefilm_gen_cfilm=171157.html,alexander payne,etatsunis,6900,comedie dramatique,36000,286081,234423,2,753915,235,3.7,3.6,"[""George Clooney"", ""Shailene Woodley"", ""Amara Miller"", ""Nick Krause""]",-1,"[""anglais""]",131498,9
le ruban blanc,2009,88961f0ea495ea528770b1d8a1ee324a,https://www.allocine.fr/film/fichefilm_gen_cfilm=131948.html,michael haneke,allemagne,8640,drame,17298,164012,126280,6,649212,133,4.1,3.6,"[""Christian Friedel"", ""Ernst Jacobi"", ""Leonie Benesch"", ""Ulrich Tukur""]",12000000,"[""allemand"", ""italien"", ""polonais""]",119556,5
ma part du gateau,2011,88c95b2d8a2c4a070533e4bb5b5bdf19,https://www.allocine.fr/film/fichefilm_gen_cfilm=174961.html,cedric klapisch,france,6540,comedie dramatique,62474,530847,370390,1,1025887,482,2.7,2.6,"[""Karin Viard"", ""Gilles Lellouche"", ""Audrey Lamy"", ""Jean-Pierre Martins""]",9000000,"[""francais""]",124350,2
bright star,2009,88e8125ac50e11303b067c9321a2b1c7,https://www.allocine.fr/film/fichefilm_gen_cfilm=111831.html,jane campion,etatsunis,7140,romance,9851,110666,88153,6,384806,115,4.2,3.5,"[""Abbie Cornish"", ""Ben Whishaw"", ""Paul Schneider"", ""Kerry Fox""]",85000000,"[""anglais"", ""francais""]",123588,0
les petits mouchoirs,2010,894cd7964343fb053ce8e02ebd3be952,https://www.allocine.fr/film/fichefilm_gen_cfilm=146632.html,guillaume canet,france,9240,comedie dramatique,166477,1369812,1018595,1,5457251,555,2.9,3.6,"[""François Cluzet"", ""Marion Cotillard"", ""Benoît Magimel"", ""Gilles Lellouche""]",17000000,"[""francais""]",121898,4
the ghost writer,2010,89c8d8730be1e86c329e651a77855a0a,https://www.allocine.fr/film/fichefilm_gen_cfilm=132406.html,roman polanski,france,7680,thriller,39288,323969,269699,2,1081016,292,4.6,3.8,"[""Ewan McGregor"", ""Pierce Brosnan"", ""Kim Cattrall"", ""Timothy Hutton""]",45000000,"[""anglais""]",119365,14
red corner,1997,8a41de1a6771879c6bae22cf6cdbe368,https://www.allocine.fr/film/fichefilm_gen_cfilm=17695.html,jon avnet,etatsunis,7320,thriller,15902,118441,92553,4,271609,174,-1,2.9,"[""Richard Gere"", ""Bai Ling"", ""Bradley Whitford"", ""Byron Mann""]",-1,"[""anglais""]",93757,0
dialogue avec mon jardinier,2007,8b29f4a2ae8e4d199b729507a0ce457b,https://www.allocine.fr/film/fichefilm_gen_cfilm=109332.html,jean becker,france,6600,comedie,43300,321480,265775,2,1366765,513,2.8,3.4,"[""Daniel Auteuil"", ""Jean-Pierre Darroussin"", ""Fanny Cottençon"", ""Elodie Navarre""]",8700000,"[""francais""]",114765,0
le drole de noel de scrooge,2009,8b597adcdfc67024ae81450fa1016296,https://www.allocine.fr/film/fichefilm_gen_cfilm=129922.html,robert zemeckis,etatsunis,5760,animation,49625,499094,365702,3,1410673,508,3.2,3.5,"[""Jim Carrey"", ""Gary Oldman"", ""Colin Firth"", ""Robin Wright""]",200000000,"[""anglais""]",124555,0
etreintes brisees,2009,8c5536c5ae7dab7a516d7ee4b012ae3c,https://www.allocine.fr/film/fichefilm_gen_cfilm=133268.html,pedro almodovar,espagne,7620,drame,41941,295775,246942,3,918919,288,4.3,3.7,"[""Penélope Cruz"", ""Lluis Homar"", ""Blanca Portillo"", ""José Luis Gómez""]",18000000,"[""anglais"", ""espagnol""]",122644,1
machete,2010,8c67730464b268bb23de8cd2a3e1b16f,https://www.allocine.fr/film/fichefilm_gen_cfilm=129815.html,robert rodriguez,etatsunis,6300,aventure action,13800,100994,81733,9,177915,178,3.4,3.5,"[""Danny Trejo"", ""Michelle Rodriguez"", ""Jessica Alba"", ""Robert De Niro""]",105000000,"[""anglais"", ""espagnol""]",127487,1
the passenger,2018,8d0a774f6835430b9959780d6f742678,https://www.allocine.fr/film/fichefilm_gen_cfilm=177592.html,jaume colletserra,etatsunis,6300,thriller,34336,277629,233018,2,628795,389,2.4,3.2,"[""Liam Neeson"", ""Vera Farmiga"", ""Patrick Wilson"", ""Sam Neill""]",-1,"[""anglais""]",147957,0
walkyrie,2008,8d17bbca59f2abf58cfdcdf268e524be,https://www.allocine.fr/film/fichefilm_gen_cfilm=127129.html,bryan singer,etatsunis,7200,thriller,38547,324090,275095,1,702175,450,3.3,3.7,"[""Tom Cruise"", ""Carice van Houten"", ""Bill Nighy"", ""Kenneth Branagh""]",95000000,"[""anglais""]",-1,0
10 000,2008,8dc8fc7bf6787bdcb02d9c72e5d5d5be,https://www.allocine.fr/film/fichefilm_gen_cfilm=109040.html,roland emmerich,etatsunis,6540,aventure action,50468,474853,371765,2,833476,563,1.9,1.8,"[""Steven Strait"", ""Camilla Belle"", ""Cliff Curtis"", ""Joel Virgel""]",105000000,"[""anglais""]",-1,0
total recall memoires programmees,2012,8e7f38a4906b1bb68186e004c3ca552f,https://www.allocine.fr/film/fichefilm_gen_cfilm=144148.html,len wiseman,etatsunis,7260,science fiction,171894,551476,442956,1,1276485,524,1.9,2.8,"[""Colin Farrell"", ""Kate Beckinsale"", ""Jessica Biel"", ""Bryan Cranston""]",200000000,"[""anglais""]",134074,0
le cinquieme element,1997,8ee3a595b6c316e65ed4a6d7fe6c8418,https://www.allocine.fr/film/fichefilm_gen_cfilm=12302.html,luc besson,france,7560,science fiction,303860,1813448,1560209,1,7727697,527,3,4.2,"[""Bruce Willis"", ""Milla Jovovich"", ""Gary Oldman"", ""Ian Holm""]",75210000,"[""anglais""]",90813,5
lettres de iwo jima,2006,8f2e7c934a5e455a7c6a1d17ddee5356,https://www.allocine.fr/film/fichefilm_gen_cfilm=112342.html,clint eastwood,etatsunis,8460,guerre,21875,136677,106768,10,294612,141,4.5,4.1,"[""Ken Watanabe"", ""Kazunari Ninomiya"", ""Shido Nakamura"", ""Tsuyoshi Ihara""]",19000000,"[""anglais"", ""japonais""]",117111,3
de vrais mensonges,2010,8f5d674caee9927b872a768546b299d2,https://www.allocine.fr/film/fichefilm_gen_cfilm=145765.html,pierre salvadori,france,6300,comedie,32279,240103,197866,4,545662,400,3,2.8,"[""Audrey Tautou"", ""Nathalie Baye"", ""Sami Bouajila"", ""Stéphanie Lagarde""]",-1,"[""francais""]",119607,0
fantomes contre fantomes,1996,8f682191fb723e6d0c934e2c753ad2d9,https://www.allocine.fr/film/fichefilm_gen_cfilm=15353.html,peter jackson,etatsunis,6000,horreur,-1,99119,-1,4,239692,157,-1,3.6,"[""Michael J. Fox"", ""Trini Alvarado"", ""Peter Dobson"", ""John Astin""]",30000000,"[""anglais""]",-1,0
lincroyable hulk,2008,8ff129b6f09a1c05305150630588e3b8,https://www.allocine.fr/film/fichefilm_gen_cfilm=114820.html,louis leterrier,etatsunis,6840,comicbook,116770,517088,418456,1,1022782,679,3.4,3.1,"[""Edward Norton"", ""Liv Tyler"", ""Tim Roth"", ""William Hurt""]",150000000,"[""anglais"", ""portugais"", ""espagnol""]",119821,0
holiday,2010,9160fb3d59b015382e1b74e4af4b1f86,https://www.allocine.fr/film/fichefilm_gen_cfilm=176013.html,guillaume nicloux,france,5400,comedie,-1,50045,40704,14,67962,126,2.4,1.9,"[""Jean-Pierre Darroussin"", ""Judith Godrèche"", ""Josiane Balasko"", ""Scali Delpeyrat""]",-1,"[""francais""]",125426,0
in the air,2009,921a848cf2c781854305cd08fd4f5037,https://www.allocine.fr/film/fichefilm_gen_cfilm=138895.html,jason reitman,etatsunis,6540,comedie,45106,339337,287297,5,771083,312,3.5,3.3,"[""George Clooney"", ""Vera Farmiga"", ""Anna Kendrick"", ""Jason Bateman""]",30000000,"[""anglais""]",-1,4
resident evil afterlife 3d,2010,922f308f6dbbb906ea60767233c94379,https://www.allocine.fr/film/fichefilm_gen_cfilm=137903.html,paul ws anderson,etatsunis,6000,aventure action,70336,404807,360771,2,911560,408,1.3,2.1,"[""Milla Jovovich"", ""Ali Larter"", ""Shawn Roberts"", ""Wentworth Miller""]",60000000,"[""anglais""]",-1,0
lheure zero,2007,9271c49b1ff8790cea4fbd6bed436fe2,https://www.allocine.fr/film/fichefilm_gen_cfilm=112190.html,pascal thomas,france,6420,thriller,30710,240164,191641,4,510865,242,3.4,2.2,"[""François Morel"", ""Danielle Darrieux"", ""Melvil Poupaud"", ""Laura Smet""]",-1,"[""francais""]",116082,0
